locus_tag	ftype	length_bp	gene	EC_number	COG	product
KLAOMLMB_00071	CDS	537				hypothetical protein
KLAOMLMB_00072	CDS	288				hypothetical protein
KLAOMLMB_00073	CDS	282				hypothetical protein
KLAOMLMB_00074	CDS	603				hypothetical protein
KLAOMLMB_00075	CDS	453				hypothetical protein
KLAOMLMB_00076	CDS	336				hypothetical protein
KLAOMLMB_00077	CDS	243				hypothetical protein
KLAOMLMB_00078	CDS	273				hypothetical protein
KLAOMLMB_00079	CDS	4263	rhsC	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
KLAOMLMB_00080	CDS	726				hypothetical protein
KLAOMLMB_00081	CDS	375	matP			Macrodomain Ter protein
KLAOMLMB_00082	CDS	117				hypothetical protein
KLAOMLMB_00083	CDS	240				hypothetical protein
KLAOMLMB_00084	CDS	279				hypothetical protein
KLAOMLMB_00085	CDS	1728				hypothetical protein
KLAOMLMB_00086	CDS	387				hypothetical protein
KLAOMLMB_00087	CDS	147				hypothetical protein
KLAOMLMB_00088	CDS	852				hypothetical protein
KLAOMLMB_00089	CDS	558				hypothetical protein
KLAOMLMB_00090	CDS	219				hypothetical protein
KLAOMLMB_00091	CDS	270				hypothetical protein
KLAOMLMB_00092	CDS	606	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
KLAOMLMB_00093	CDS	180				hypothetical protein
KLAOMLMB_00094	CDS	2454				hypothetical protein
KLAOMLMB_00095	CDS	387				hypothetical protein
KLAOMLMB_00096	CDS	555				hypothetical protein
KLAOMLMB_00097	CDS	432				hypothetical protein
KLAOMLMB_00098	CDS	1626	hhaIM	2.1.1.37		Modification methylase HhaI
KLAOMLMB_00099	CDS	303				hypothetical protein
KLAOMLMB_00100	CDS	345				hypothetical protein
KLAOMLMB_00101	CDS	354				hypothetical protein
KLAOMLMB_00102	CDS	192				hypothetical protein
KLAOMLMB_00103	CDS	276				hypothetical protein
KLAOMLMB_00104	CDS	453				hypothetical protein
KLAOMLMB_00105	CDS	390				hypothetical protein
KLAOMLMB_00106	CDS	225	ycbX		COG0633	putative protein YcbX
KLAOMLMB_00107	CDS	885				hypothetical protein
KLAOMLMB_00108	CDS	501				hypothetical protein
KLAOMLMB_00109	CDS	540				hypothetical protein
KLAOMLMB_00110	CDS	336				hypothetical protein
KLAOMLMB_00111	CDS	1797				hypothetical protein
KLAOMLMB_00112	CDS	1278				hypothetical protein
KLAOMLMB_00113	CDS	1011				hypothetical protein
KLAOMLMB_00114	CDS	1032				hypothetical protein
KLAOMLMB_00115	CDS	528	ssb			Single-stranded DNA-binding protein
KLAOMLMB_00116	CDS	909				hypothetical protein
KLAOMLMB_00117	CDS	969	cobS	6.6.1.2		Aerobic cobaltochelatase subunit CobS
KLAOMLMB_00118	CDS	186				hypothetical protein
KLAOMLMB_00119	CDS	93				hypothetical protein
KLAOMLMB_00120	CDS	321				hypothetical protein
KLAOMLMB_00121	CDS	642				hypothetical protein
KLAOMLMB_00122	CDS	861				hypothetical protein
KLAOMLMB_00123	CDS	2799				hypothetical protein
KLAOMLMB_00124	CDS	1008				hypothetical protein
KLAOMLMB_00125	CDS	672	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
KLAOMLMB_00126	CDS	1266				hypothetical protein
KLAOMLMB_00127	CDS	531				hypothetical protein
KLAOMLMB_00128	CDS	318				hypothetical protein
KLAOMLMB_00129	CDS	2448	traC			Protein TraC
KLAOMLMB_00130	CDS	708	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
KLAOMLMB_00131	CDS	5532				hypothetical protein
KLAOMLMB_00132	CDS	384				hypothetical protein
KLAOMLMB_00133	CDS	579				hypothetical protein
KLAOMLMB_00134	CDS	1317				hypothetical protein
KLAOMLMB_00135	CDS	918				hypothetical protein
KLAOMLMB_00136	CDS	627				hypothetical protein
KLAOMLMB_00137	CDS	282				hypothetical protein
KLAOMLMB_00138	CDS	378				hypothetical protein
KLAOMLMB_00139	CDS	144				hypothetical protein
KLAOMLMB_00140	CDS	663				hypothetical protein
KLAOMLMB_00141	CDS	378				hypothetical protein
KLAOMLMB_00142	CDS	447				hypothetical protein
KLAOMLMB_00143	CDS	630				hypothetical protein
KLAOMLMB_00144	CDS	546				hypothetical protein
KLAOMLMB_00145	CDS	1866				hypothetical protein
KLAOMLMB_00146	CDS	2979				hypothetical protein
KLAOMLMB_00147	CDS	618				hypothetical protein
KLAOMLMB_00148	CDS	234				hypothetical protein
KLAOMLMB_00149	CDS	2193	topB	5.99.1.2	COG0550	DNA topoisomerase 3
KLAOMLMB_00150	CDS	489				hypothetical protein
KLAOMLMB_00151	CDS	279				hypothetical protein
KLAOMLMB_00152	CDS	207				hypothetical protein
KLAOMLMB_00153	CDS	618				hypothetical protein
KLAOMLMB_00154	CDS	219				hypothetical protein
KLAOMLMB_00155	CDS	264				hypothetical protein
KLAOMLMB_00156	CDS	657				hypothetical protein
KLAOMLMB_00157	CDS	1428	ydiO	2.1.1.37	COG0270	putative BsuMI modification methylase subunit YdiO
KLAOMLMB_00158	CDS	501				hypothetical protein
KLAOMLMB_00159	CDS	333				hypothetical protein
KLAOMLMB_00160	CDS	507				hypothetical protein
KLAOMLMB_00161	CDS	675				hypothetical protein
KLAOMLMB_00162	CDS	282				hypothetical protein
KLAOMLMB_00163	CDS	378				hypothetical protein
KLAOMLMB_00164	CDS	144				hypothetical protein
KLAOMLMB_00165	CDS	636				hypothetical protein
KLAOMLMB_00166	CDS	273				hypothetical protein
KLAOMLMB_00167	CDS	1182	korB			Transcriptional repressor protein KorB
KLAOMLMB_00168	CDS	786	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
KLAOMLMB_00169	CDS	312				hypothetical protein
KLAOMLMB_00170	CDS	816	folP	2.5.1.15	COG0294	Dihydropteroate synthase
KLAOMLMB_00171	CDS	303	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
KLAOMLMB_00172	CDS	1500				hypothetical protein
KLAOMLMB_00173	CDS	873	ermD	2.1.1.-		rRNA adenine N-6-methyltransferase
KLAOMLMB_00174	CDS	1494				hypothetical protein
KLAOMLMB_00175	CDS	225				hypothetical protein
KLAOMLMB_00176	CDS	738	bin3			Putative transposon Tn552 DNA-invertase bin3
KLAOMLMB_00177	CDS	492				hypothetical protein
